row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,OpenET,fold,Affine,DirectMLP_noVPD_20260713,DirectMLP_noVPD_20260714,DirectMLP_noVPD_20260715,DirectMLP_noVPD,ResidualMLP_noVPD_20260713,ResidualMLP_noVPD_20260714,ResidualMLP_noVPD_20260715,ResidualMLP_noVPD
1512,US-Aud,2004-11-09,US-Aud,Grasslands,31.5907299999999,-110.51038,0.4,2.5,0.3015814337363191,8.781270833333332,0.0535,2.1802083333333337,-0.7694148268839381,0.6387494220515268,0.4,4,0.5304359731578718,0.6007498701072413,0.5548632039085972,0.44524781391977,0.5336202959785362,0.505896161210408,0.4594361002248388,0.362943278461171,0.44275851329880594
1513,US-Aud,2004-11-10,US-Aud,Grasslands,31.5907299999999,-110.51038,0.3,2.5,0.2329499609377164,9.066666666666666,0.0627458333333333,1.86875,-0.7583058084785625,0.6518989958787125,0.3,4,0.44070006388517413,0.5631645660227773,0.567640010259568,0.3771139342785861,0.5026395035203105,0.5174223149540846,0.37890416543604,0.29262497064747184,0.3963171503458655
1514,US-Aud,2004-11-17,US-Aud,Grasslands,31.5907299999999,-110.51038,0.1,1.9,0.117807370934342,8.672916666666666,0.0483854166666666,1.5170833333333331,-0.6744436188329457,0.7383263540031063,0.1,4,0.26122824533977873,0.48290840131169954,0.35182072083905913,0.30003937420512283,0.3782561654519605,0.4908699340577103,0.2909184103147108,0.21959546927502777,0.3337946045491496
1515,US-Aud,2004-11-18,US-Aud,Grasslands,31.5907299999999,-110.51038,0.0,2.1000001,0.0918044276486482,9.252104166666667,0.0537854166666666,1.519375,-0.661634618242279,0.749826401204568,0.0,4,0.17149233606708103,0.408219947128563,0.2792822361323646,0.22970145208838932,0.305734545116439,0.40961563386835076,0.18299005385404704,0.10545842256796932,0.2326880367634557
1516,US-Aud,2004-11-25,US-Aud,Grasslands,31.5907299999999,-110.51038,0.3,2.5,0.3156031723335949,7.454187499999999,0.0608854166666666,2.072708333333334,-0.5667017562911184,0.8239230057575536,0.3,4,0.44070006388517413,0.43175922569254244,0.5390266927317455,0.3396567055486801,0.43681420799098936,0.5271270918600407,0.49334427355583504,0.36680534618539234,0.46242557053375605
1517,US-Aud,2004-11-26,US-Aud,Grasslands,31.5907299999999,-110.51038,0.2,2.8,0.2058395904897365,9.381270833333334,0.0770458333333333,3.631250000000001,-0.5524353131676203,0.8335557718385695,0.2,4,0.35096415461247643,0.26610307484993756,0.3260244449729015,0.19526167240954617,0.2624630640774617,0.1744146046966529,0.26625513628947833,0.44342664957171696,0.2946987968526161
1518,US-Aud,2005-01-12,US-Aud,Grasslands,31.5907299999999,-110.51038,0.5,1.8000001,0.5836959247539751,3.725,0.0221625,2.9118750000000007,0.2051044998686192,0.9787400799669153,0.5,4,0.6201718824305698,0.45810129007910394,0.49217634247158815,0.4885894279783023,0.4796223535096648,0.5690909814476796,0.5953703437915545,0.38312468677103945,0.5158620040034244
1519,US-Aud,2005-01-13,US-Aud,Grasslands,31.5907299999999,-110.51038,0.7,2.1000001,0.6219468654111079,2.5333333333333328,0.0352854166666666,1.6147916666666668,0.2219215130041655,0.9750645322571948,0.7,4,0.7996437009759654,0.5999777961758417,0.48042910405400274,0.3918004966504447,0.4907357989600964,0.5125831666387641,0.6593490456157963,0.635954193790256,0.6026288020149388
1520,US-Aud,2005-01-20,US-Aud,Grasslands,31.5907299999999,-110.51038,1.1,2.7,0.3673352703058641,11.3,0.0657645833333333,2.312291666666667,0.3375228995941133,0.9413173175128472,1.1,4,1.1585873380667566,0.9642907421794842,0.9016142568597958,0.8735762420993083,0.9131604137128627,0.9770306524101647,1.0813528611471936,0.8843971958840787,0.9809269031471457
1521,US-Aud,2005-01-28,US-Aud,Grasslands,31.5907299999999,-110.51038,0.4,2.0,0.6990522396793266,7.097916666666666,0.0431229166666666,1.623958333333334,0.4635502709028509,0.886070621534138,0.4,4,0.5304359731578718,0.4307438267205361,0.5435576818071408,0.313243656234647,0.42918172158744133,0.474763464217148,0.5573142905090024,0.4236878348225323,0.48525519651622756
