row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,OpenET,fold,Affine,DirectMLP_noVPD_20260713,DirectMLP_noVPD_20260714,DirectMLP_noVPD_20260715,DirectMLP_noVPD,ResidualMLP_noVPD_20260713,ResidualMLP_noVPD_20260714,ResidualMLP_noVPD_20260715,ResidualMLP_noVPD
5167,US-Ro1,2016-09-01,US-Ro1,Croplands,44.7143,-93.0898,3.2,3.8,2.8876958791488954,16.82437791666667,0.4914699215916668,0.7835403208333336,-0.8800122039735356,-0.4749510720670502,3.2,0,2.945863346297693,2.8343783463483367,2.9274101828940067,3.160208010271856,2.9739988465047333,2.66544696626398,2.4800546300886546,3.104971998588969,2.7501578649805345
5168,US-Ro1,2016-09-08,US-Ro1,Croplands,44.7143,-93.0898,3.4,3.9,5.190080263266059,19.4907875,0.5510961178895835,1.6641290583333337,-0.9307239310379792,-0.3657225234972692,3.4,0,3.1300046361677,2.969964787798867,2.9867372172556825,3.1793143048856938,3.045338769980081,2.927177024155368,3.020565300148818,3.1377893482062844,3.02851055750349
5169,US-Ro1,2016-09-16,US-Ro1,Croplands,44.7143,-93.0898,2.1,2.8,2.2935723449626275,18.51723041666666,0.3565131596208334,1.5464814604166668,-0.9721181966290612,-0.2344913895704105,2.1,0,1.9330862520126526,2.2028743747903055,2.1606086638077118,2.1282324440255005,2.163905160874506,2.2956389901551786,2.0143970597669054,2.28620729739782,2.198747782439968
5170,US-Ro1,2016-10-02,US-Ro1,Croplands,44.7143,-93.0898,1.3,2.1000001,0.9078136990691988,14.837869541666665,0.5917763936999999,0.6239627395833335,-0.9992500112396836,0.0387222808921739,1.3,0,1.1965210925326233,1.694009542389551,1.4514434954426192,1.3675711372497212,1.5043413916939639,1.9449021462703082,1.1069019663033188,1.3947934829602577,1.482199198511295
5171,US-Ro1,2016-10-03,US-Ro1,Croplands,44.7143,-93.0898,1.1,3.0,1.245239852763638,15.99661345833333,0.6859847409187502,1.7419360541666664,-0.9984354211555644,0.055916990100603,1.1,0,1.012379802662616,1.0247259613119304,1.0055936519330364,1.0265716507826412,1.0189637546758694,0.9524382378113452,0.9752483765495356,0.9857760561675049,0.9711542235094619
5172,US-Ro1,2016-10-11,US-Ro1,Croplands,44.7143,-93.0898,0.4,2.6000001,0.8039267691651046,15.530654833333337,0.5125296534687501,2.569727797916666,-0.9813064702716092,0.1924515819708299,0.4,0,0.36788528811759025,0.8050817307276721,0.696199937926888,0.6692001411147239,0.7234939365897614,0.6542775673138808,0.7230198180393298,0.74053822701359,0.7059452041222669
5173,US-Ro1,2016-10-18,US-Ro1,Croplands,44.7143,-93.0898,0.3,2.3,1.4544934696639715,12.717875583333331,0.3984496113312499,2.557038347916667,-0.9510565162951536,0.3090169943749472,0.3,0,0.2758146431825865,0.7733846334483716,0.48098983780603866,0.6503452209538012,0.6349065640694038,0.6321724831705158,0.7158251243381444,0.5776252236778441,0.641874277062168
5174,US-Ro1,2016-11-03,US-Ro1,Croplands,44.7143,-93.0898,0.2,1.5,0.7495009617611568,9.95578,0.3704048160541665,1.3661456104166667,-0.8311706263658079,0.5560174366570446,0.2,0,0.18374399824758303,0.5375955225731368,0.27738385376603913,0.4213123547293143,0.41209724368949674,0.3489629279972559,0.3456234094515579,0.4434507693189611,0.37934570225592495
5175,US-Ro1,2016-11-04,US-Ro1,Croplands,44.7143,-93.0898,0.5,2.2,0.649458409772658,10.546882333333334,0.4956594318041666,1.4361671333333332,-0.8214765533024145,0.5702422926917867,0.5,0,0.4599559330525942,0.6338557948124062,0.5619233265224908,0.5056473749737675,0.5671421654362215,0.5990442205938893,0.5299732007868363,0.593033259839612,0.5740168937401126
5176,US-Ro1,2016-11-11,US-Ro1,Croplands,44.7143,-93.0898,0.2,1.0,0.6127626813440805,5.1578375398958345,0.3607624924354165,2.2554916312500013,-0.7469720876965551,0.6648553979642867,0.2,0,0.18374399824758303,0.5573512627294752,0.40879980736920674,0.3629759721100898,0.4430423474029239,0.4943052240943799,0.5277126068210527,0.38138988957637365,0.4678025734972688
