condition,method,aurc_mm_day,ci95_low_mm_day,ci95_high_mm_day,bootstrap_draws,bootstrap_seed
temperature_plus5,Gain,0.8602503076912762,0.7519645509405245,0.982879065407802,2000,20261011
temperature_plus5,SupportGain,0.7794429798472384,0.6915836713481393,0.8773663396404351,2000,20261011
temperature_plus5,MonoGain,0.840744771930991,0.7364618715440553,0.9533585830007784,2000,20261011
temperature_plus5,AugmentedGain,0.9253522523832942,0.7723660095172994,1.09040036694145,2000,20261011
temperature_plus5,TunedGain,0.8977417234724784,0.7932046493230518,1.0073788188072683,2000,20261011
temperature_plus5,LogisticSign,0.8182225698428711,0.7336858348136222,0.9167369839808021,2000,20261011
temperature_plus5,ConformalCSR,0.6968196700324737,0.6268900260980004,0.7718309547493287,2000,20261011
temperature_plus10,Gain,1.0362225412789958,0.9182512778275014,1.161895621344756,2000,20261012
temperature_plus10,SupportGain,0.9119398004111388,0.8038460757994441,1.0573911531197884,2000,20261012
temperature_plus10,MonoGain,1.0050574755257116,0.8923958850777559,1.127771804931351,2000,20261012
temperature_plus10,AugmentedGain,1.0450042884102742,0.8871949700625488,1.2191921987517236,2000,20261012
temperature_plus10,TunedGain,1.0450630722861043,0.9281953418236508,1.177332803128018,2000,20261012
temperature_plus10,LogisticSign,0.9495500936415704,0.8607882882609837,1.0525720015999347,2000,20261012
temperature_plus10,ConformalCSR,0.8533768195361772,0.7840181650039483,0.9303352873910192,2000,20261012
temperature_plus20,Gain,1.4127384977072421,1.3077828215535001,1.529156413824938,2000,20261013
temperature_plus20,SupportGain,1.2263195586259492,1.1179654333067803,1.343121594645506,2000,20261013
temperature_plus20,MonoGain,1.389490404230378,1.283170066806468,1.5111477269530513,2000,20261013
temperature_plus20,AugmentedGain,1.2165201432736346,1.0431450799432398,1.4032928694611395,2000,20261013
temperature_plus20,TunedGain,1.34912494174948,1.2203569525273636,1.485902006936558,2000,20261013
temperature_plus20,LogisticSign,1.2948496101452653,1.2063680776282202,1.3868623943903846,2000,20261013
temperature_plus20,ConformalCSR,1.2201158685687472,1.1290627887911868,1.3128713279573674,2000,20261013
temperature_plus32,Gain,1.7325632200870302,1.622615028604559,1.8374323182219479,2000,20261014
temperature_plus32,SupportGain,1.587880184022568,1.4793912745803501,1.7073612498280568,2000,20261014
temperature_plus32,MonoGain,1.7043829488589888,1.5820211402065756,1.819457791709692,2000,20261014
temperature_plus32,AugmentedGain,1.2783570653341607,1.1032592835172284,1.4818059428108068,2000,20261014
temperature_plus32,TunedGain,1.650703718019584,1.507447110524666,1.793606765445262,2000,20261014
temperature_plus32,LogisticSign,1.7107859199070672,1.5992784793917518,1.8269428496665119,2000,20261014
temperature_plus32,ConformalCSR,1.6629235636992186,1.5411294898538157,1.7910128326288632,2000,20261014
temperature_fahrenheit_as_celsius,Gain,1.9642559197432852,1.8368887201486126,2.0944632038680853,2000,20261015
temperature_fahrenheit_as_celsius,SupportGain,1.7560591256280529,1.6255376919407378,1.9004997370343113,2000,20261015
temperature_fahrenheit_as_celsius,MonoGain,1.9462193259642924,1.8073059984590654,2.0828570769685357,2000,20261015
temperature_fahrenheit_as_celsius,AugmentedGain,1.3736366206985429,1.1835717914662411,1.588028401369275,2000,20261015
temperature_fahrenheit_as_celsius,TunedGain,1.9028895582133731,1.7445209320773203,2.0608792957399045,2000,20261015
temperature_fahrenheit_as_celsius,LogisticSign,2.06775266561095,1.9037902192246936,2.234136386864516,2000,20261015
temperature_fahrenheit_as_celsius,ConformalCSR,1.9934298611599142,1.8130812634236295,2.1724628476013432,2000,20261015
vpd_x10,Gain,4.219400313127907,3.611437337350973,4.847774742729405,2000,20261016
vpd_x10,SupportGain,1.984439559077365,1.7140602300284153,2.29561396705871,2000,20261016
vpd_x10,MonoGain,4.019343005006604,3.4316817752996576,4.641907130976989,2000,20261016
vpd_x10,AugmentedGain,1.6391523627326585,1.4175463950527256,1.9419123566984815,2000,20261016
vpd_x10,TunedGain,4.376729854760218,3.7466240377212907,5.056486314544298,2000,20261016
vpd_x10,LogisticSign,5.393632340689131,4.453971816352225,6.4490240086503885,2000,20261016
vpd_x10,ConformalCSR,4.165272522116345,3.425744749713263,4.879624055507967,2000,20261016
