condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
temperature_plus5,LogisticSign,0.27,0.802539084086507,0.6841118685352776,0.9700652863737153
temperature_plus5,LogisticSign,0.28,0.8003716451063049,0.6886922413559451,0.9696197823320687
temperature_plus5,LogisticSign,0.29,0.808162639656754,0.691816152803078,0.974308322987438
temperature_plus5,LogisticSign,0.3,0.8085889728835568,0.6948357038365192,0.9712099757442132
temperature_plus5,LogisticSign,0.31,0.8056044587289218,0.7016806374364327,0.97286265236081
temperature_plus5,LogisticSign,0.32,0.8255041926966108,0.7048522801613032,0.9732847382148665
temperature_plus5,LogisticSign,0.33,0.8313343941060838,0.7106591505868931,0.9719631564611834
temperature_plus5,LogisticSign,0.34,0.8321651377520484,0.7155930034722423,0.9676177800329401
temperature_plus5,LogisticSign,0.35000000000000003,0.8317561492996991,0.7188870281700508,0.9637967414312921
temperature_plus5,LogisticSign,0.36,0.8312476963456771,0.7190642361426554,0.9580171336709826
temperature_plus5,LogisticSign,0.37,0.8257923301840843,0.7205337291626857,0.9520795845230517
temperature_plus5,LogisticSign,0.38,0.8207661859779048,0.7205692544493855,0.9475638389682765
temperature_plus5,LogisticSign,0.39,0.8153623978712873,0.7192361506018433,0.9409721235916121
temperature_plus5,LogisticSign,0.4,0.8110993127553642,0.7175447787889605,0.9373347367349191
temperature_plus5,LogisticSign,0.41000000000000003,0.810855995882046,0.7168016687672665,0.9326914407925433
temperature_plus5,LogisticSign,0.42,0.80890331174971,0.7157735424498124,0.929547393569021
temperature_plus5,LogisticSign,0.43,0.8098850999643381,0.7156980660286826,0.929141236970806
temperature_plus5,LogisticSign,0.44,0.8118540568527922,0.7156016019546251,0.9296920007787535
temperature_plus5,LogisticSign,0.45,0.8131956561988143,0.7156389538462369,0.927247455268177
temperature_plus5,LogisticSign,0.46,0.8091010614832439,0.7162387679751301,0.9285171664396291
temperature_plus5,LogisticSign,0.47000000000000003,0.8102953972744459,0.7190961412094272,0.9281343472784767
temperature_plus5,LogisticSign,0.48,0.8143684478426707,0.7211567150174126,0.9277153752890047
temperature_plus5,LogisticSign,0.49,0.818697338166471,0.7214936219168596,0.9302066715222131
temperature_plus5,LogisticSign,0.5,0.8196256577281511,0.7220038936774998,0.9308218357019661
temperature_plus5,LogisticSign,0.51,0.8191841758676766,0.7230057992090382,0.9306205916821919
temperature_plus5,LogisticSign,0.52,0.8246833565467185,0.7272929543150332,0.9315508701079467
temperature_plus5,LogisticSign,0.53,0.8213742576828604,0.7276424497943775,0.9319855026212949
temperature_plus5,LogisticSign,0.54,0.8251606067322543,0.7295745836812683,0.9339419962134222
temperature_plus5,LogisticSign,0.55,0.8321041244519345,0.7338460867256069,0.9326347571643377
temperature_plus5,LogisticSign,0.56,0.8336799467552276,0.739084489045577,0.9341643132116182
temperature_plus5,LogisticSign,0.5700000000000001,0.8398030060970454,0.7397719738836279,0.9352669648962723
temperature_plus5,LogisticSign,0.58,0.8371373557573774,0.7433844009200379,0.9338522384170815
temperature_plus5,LogisticSign,0.59,0.8373044657851996,0.7466027499088445,0.9326173556748893
temperature_plus5,LogisticSign,0.6,0.8397500915508276,0.7488300647497559,0.9305846752202336
temperature_plus5,LogisticSign,0.61,0.8372783738884657,0.7484349854107335,0.9318046671151009
temperature_plus5,LogisticSign,0.62,0.8381487098142962,0.7500052104129507,0.9310045569737766
temperature_plus5,LogisticSign,0.63,0.837241230962543,0.7509531318669158,0.9295096126635828
temperature_plus5,LogisticSign,0.64,0.8365625993280035,0.7525442756938605,0.9288884056008847
temperature_plus5,LogisticSign,0.65,0.8431158562287068,0.752043381820951,0.9304548563633026
temperature_plus5,LogisticSign,0.66,0.8362393349625796,0.752527948997366,0.9317481084381405
temperature_plus5,LogisticSign,0.67,0.8314715898952886,0.7516551094488334,0.9305951987463229
temperature_plus5,LogisticSign,0.68,0.8313606688918247,0.7523732068232302,0.932374816407683
temperature_plus5,LogisticSign,0.6900000000000001,0.8339024825937575,0.751721994382424,0.9329375916262171
temperature_plus5,LogisticSign,0.7000000000000001,0.8421614807027549,0.7514237403348147,0.933891811287326
temperature_plus5,LogisticSign,0.71,0.8421632069693965,0.7535560140401125,0.9330409727746618
