condition,method,fixed_coverage,fixed_selective_mae_mm_day,fixed_end_to_end_station_macro_mae_mm_day,accepted_rows
wind_x3.6,Gain,0.8472413580187382,1.1427619930314674,1.0941334364804396,6742
wind_x3.6,SupportGain,0.08290614433272016,0.6748434808028667,0.8623423513384263,842
wind_x3.6,MonoGain,0.5402255585768712,1.1430714111848423,1.02224602871928,4726
wind_x3.6,AugmentedGain,0.017648075490098416,0.9406794840409665,0.8546656225841108,91
wind_x3.6,TunedGain,0.8276739262936934,1.133635382512292,1.0860377456788106,6712
wind_x3.6,LogisticSign,0.39914024374776935,1.206390943603087,1.0367796645389944,3422
wind_x3.6,ConformalCSR,0.5081935889699821,0.9569509989076271,0.9714352232551656,4469
wind_x5,Gain,0.851815615282321,1.2405743004487604,1.1948432566219922,6900
wind_x5,SupportGain,0.026526793679026127,0.6602361984473931,0.8594743607033125,322
wind_x5,MonoGain,0.5350222359466245,1.2955756515163392,1.092593371339989,4724
wind_x5,AugmentedGain,0.007084355842909172,0.9342222488292007,0.8544247685011476,31
wind_x5,TunedGain,0.8266723417205886,1.2421814297529683,1.1817991184518688,6826
wind_x5,LogisticSign,0.3451887758657311,1.3261159288594282,1.053818703208232,3242
wind_x5,ConformalCSR,0.4956061228195041,1.0377424970613518,1.0070935359586244,4426
wind_x10,Gain,0.8681665808232765,1.5368879537060043,1.4743816908699006,7055
wind_x10,SupportGain,0.001327679048427937,0.7297968174622109,0.8547660668807219,22
wind_x10,MonoGain,0.6065340070694508,1.6922783373776282,1.3760771079567136,5071
wind_x10,AugmentedGain,0.007461460635920774,1.7218580396509766,0.8560137994916381,22
wind_x10,TunedGain,0.8570827618945647,1.5553753966827188,1.456117550695191,6915
wind_x10,LogisticSign,0.31094119335298676,1.388849540241721,1.0273538720799404,2780
wind_x10,ConformalCSR,0.48528521763982274,1.1942056270225705,1.0770603879751708,4427
temperature_plus5,Gain,0.7312027020084968,0.8179513266450728,0.8568424670819172,5906
temperature_plus5,SupportGain,0.6727869435330492,0.7954339602829891,0.8457046464496324,5503
temperature_plus5,MonoGain,0.7212818088956444,0.8110507195172575,0.8411053549794659,5852
temperature_plus5,AugmentedGain,0.11616419555881596,1.128382264217268,0.85188293888814,839
temperature_plus5,TunedGain,0.7615735878396325,0.8307652896024771,0.8534473321734674,6210
temperature_plus5,LogisticSign,0.3711705253317292,0.8271074319984049,0.8545236061623068,2911
temperature_plus5,ConformalCSR,0.6020787121474015,0.7429549730829994,0.8481771803355294,5206
temperature_plus10,Gain,0.7225796512087791,0.9670496330143655,0.9610951077926607,5875
temperature_plus10,SupportGain,0.4554617669765979,0.8812127631182018,0.893349700513353,3379
temperature_plus10,MonoGain,0.6529834547591935,0.9623992442581842,0.9388397466675583,5329
temperature_plus10,AugmentedGain,0.07026133943251096,1.306694868481177,0.8594331861003079,408
temperature_plus10,TunedGain,0.7596890870403081,0.9959083462004927,0.9556183104949612,6239
temperature_plus10,LogisticSign,0.39046369080392634,0.9187712609635676,0.9152249419172429,3214
temperature_plus10,ConformalCSR,0.5653769359304712,0.8822762200410974,0.9252571774708995,4892
temperature_plus20,Gain,0.8139639849341425,1.2570169185036646,1.2064928752334907,6814
temperature_plus20,SupportGain,0.019668271001740432,1.1276916499579694,0.862040568879916,160
temperature_plus20,MonoGain,0.5316301511847826,1.3696272479364209,1.1278748418410554,4679
temperature_plus20,AugmentedGain,0.010714169459352779,1.7863421826391304,0.8549742247854091,77
temperature_plus20,TunedGain,0.7920850992102166,1.2660747350942847,1.1736628019397923,6372
