row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,fold,OpenET,Affine,WeatherRidge_noVPD,CombinedRidge_noVPD,WeatherHGB_noVPD,DirectHGB_noVPD,ResidualHGB_noVPD,GatedHGB_noVPD,WeatherRidge_clipped,CombinedRidge_clipped
3974,US-GLE,2010-08-31,US-GLE,Evergreen Forests,41.36653,-106.2399,3.2,3.4,2.4363646386568942,5.394083062499999,0.4591958541666667,4.3174671249999985,-0.8631421280499115,-0.5049610547215202,2,3.2,3.0468787839989027,2.624498154827072,3.3477488295999516,2.4465546269054137,2.387574058540268,2.6660163004120934,2.96860460816224,2.289280264222574,3.331365601985759
3975,US-GLE,2010-09-01,US-GLE,Evergreen Forests,41.36653,-106.2399,3.3,4.8,1.9471308041747688,7.569668395833332,0.5899194208333333,7.564544062499998,-0.8717063187093218,-0.4900286664290594,2,3.3,3.1408606276611337,2.574152836134289,3.8160052565362403,2.7969038655159544,2.6476422628640806,2.9285008615839097,3.1390153318022214,2.23050652488227,3.7024620880576347
3976,US-GLE,2010-09-08,US-GLE,Evergreen Forests,41.36653,-106.2399,3.3,4.1,1.0911651592311058,7.777601041666667,0.3709043791666666,6.687423604166664,-0.9242907221930934,-0.3816892202666586,2,3.3,3.1408606276611337,2.4860392126369275,3.756488726246801,2.499510403893084,2.581244065534525,2.928192126448178,3.13888154515712,2.2482337502702108,3.76441186986149
3977,US-GLE,2010-09-09,US-GLE,Evergreen Forests,41.36653,-106.2399,3.2,4.4,1.5077486147626316,7.0128946874999984,0.4604322791666668,6.6025295208333326,-0.9307239310379792,-0.3657225234972692,2,3.2,3.0468787839989027,2.365740462701975,3.5902421242526312,2.499510403893084,2.58210696374485,3.000397583511703,3.113504701715207,2.1012292444327563,3.591496807717826
3978,US-GLE,2010-09-16,US-GLE,Evergreen Forests,41.36653,-106.2399,3.7,4.6,1.6698672935865853,9.95533372916667,0.9399613875,5.012088520833333,-0.9679377830240642,-0.2511900638848195,2,3.7,3.5167880023100606,2.1744492909002697,3.8291789064405437,1.8971091590197948,2.8169813832889883,3.106662551237624,3.4428843772678035,1.844789803669282,3.810030044076652
3979,US-GLE,2010-09-17,US-GLE,Evergreen Forests,41.36653,-106.2399,2.4,4.6,1.4291840608849375,11.6646600625,1.01124481875,3.9122319374999983,-0.9721181966290612,-0.2344913895704105,2,2.4,2.2950240347010498,2.1634322548171725,2.4479138491155394,1.5948941943120762,2.362715595017438,2.2706677328839837,2.3439554228908634,1.8816382264477909,2.429887385101943
3980,US-GLE,2010-09-24,US-GLE,Evergreen Forests,41.36653,-106.2399,2.7,4.2000003,1.4776522337830689,6.9279638750000005,0.6315888854166666,7.261478854166665,-0.9932568492674144,-0.1159345995955006,2,2.7,2.5769695656877447,2.001181605430895,3.2060349046489693,1.942020839431047,2.2604312604677563,2.6518527351664942,2.6791359638493395,1.6532081312578701,3.1390492828891223
3981,US-GLE,2010-09-25,US-GLE,Evergreen Forests,41.36653,-106.2399,2.5,4.0,1.2153413235200368,9.328362833333331,0.758808825,3.868116395833333,-0.9951053111006974,-0.0988201387328721,2,2.5,2.3890058783632817,1.9472937344429868,2.5481647832548617,1.5222623423524746,2.365653283296329,2.2434130199286533,2.3888111288043117,1.7058489545745745,2.5321568252072555
3982,US-GLE,2010-10-02,US-GLE,Evergreen Forests,41.36653,-106.2399,3.9,3.3,0.9944734860419208,9.324859062500003,0.7814658770833334,2.7660800625,-0.9997685019798908,0.0215160974362222,2,3.9,3.704751689634523,1.823040416015864,3.781295929379705,1.3050506155998938,2.8662447683770207,2.8710613931730053,3.454121872470125,1.5695680830356509,3.7537931646866642
3983,US-GLE,2010-10-03,US-GLE,Evergreen Forests,41.36653,-106.2399,2.7,3.6000001000000004,0.9097157179936792,10.598668062499998,0.9523274770833332,3.041565583333334,-0.9992500112396836,0.0387222808921739,2,2.7,2.5769695656877447,1.8016606783712936,2.6656098784776714,1.2929597883023594,2.4600910536957667,2.55645154603654,2.6377950098884786,1.5158648934747085,2.641027664316843
