regime,specification,fold,score,inner_fraction,outer_fraction,full_macro_mae,selected_neural_mae,selected_openet_mae,rows,selected_rows
proximity,archived,2,distance,0.1,0.20631970260223048,0.8520931327975122,0.6805822763516308,0.7455051452040458,538,111
proximity,archived,2,distance,0.2,0.3475836431226766,0.867416623035032,0.7397343066592059,0.7838272377527966,538,187
proximity,archived,2,distance,0.30000000000000004,0.4888475836431227,0.8646605423358973,0.7861909101481043,0.8396557434224513,538,263
proximity,archived,2,distance,0.4,0.6115241635687733,0.8444301065427755,0.8030955017695453,0.8748777794003808,538,329
proximity,archived,2,distance,0.5,0.7137546468401487,0.8295689778680209,0.8069356748107371,0.887698042553016,538,384
proximity,archived,2,distance,0.6000000000000001,0.8271375464684015,0.7997462337589905,0.8226617518471937,0.9250022156944608,538,445
proximity,archived,2,distance,0.7000000000000001,0.8773234200743495,0.7999961315772975,0.809332619721767,0.9325114173190021,538,472
proximity,archived,2,distance,0.8,0.9405204460966543,0.7806064000306904,0.8156503434845186,0.9456278015712936,538,506
proximity,archived,2,distance,0.9,0.983271375464684,0.769869213687443,0.8215565106733655,0.9627034118511375,538,529
proximity,archived,2,distance,1.0,1.0,0.7678866911417342,0.8302927565969052,0.9719625287054704,538,538
proximity,archived,2,predicted_gain,0.0,0.0,0.8553236753781261,,,538,0
proximity,archived,2,predicted_gain,0.1,0.15985130111524162,0.8397605890787412,0.6442803067251381,1.122958031697106,538,86
proximity,archived,2,predicted_gain,0.2,0.29182156133828996,0.8216130773287867,0.8575053541942803,1.1468975990988906,538,157
proximity,archived,2,predicted_gain,0.30000000000000004,0.4144981412639405,0.8348398440511997,0.8297720133370612,1.047351215375134,538,223
proximity,archived,2,predicted_gain,0.4,0.47769516728624534,0.8348775386973788,0.8092771264752326,1.0020046372761293,538,257
proximity,archived,2,predicted_gain,0.5,0.570631970260223,0.8346552194924438,0.8021980420675394,0.9680826989856846,538,307
proximity,archived,2,predicted_gain,0.6000000000000001,0.7453531598513011,0.8229535683061933,0.7174310554826062,0.8498196094680478,538,401
proximity,archived,2,predicted_gain,0.7000000000000001,0.7806691449814126,0.8063801506987082,0.7222188598484163,0.8530252432884283,538,420
proximity,archived,2,predicted_gain,0.8,0.8847583643122676,0.7970729421156855,0.7734599155256554,0.9012434408896782,538,476
proximity,archived,2,predicted_gain,0.9,0.9423791821561338,0.7865014795170016,0.7882369048722606,0.9161122774474354,538,507
proximity,archived,2,predicted_gain,1.0,1.0,0.7678866911417342,0.8302927565969052,0.9719625287054704,538,538
proximity,archived,3,spread,0.0,0.0,0.7870247257245924,,,387,0
proximity,archived,3,spread,0.1,0.1111111111111111,0.7805911907607331,0.5143945219349518,0.5688864923141597,387,43
proximity,archived,3,spread,0.2,0.25839793281653745,0.7667063964637589,0.5525570217426179,0.628553576330948,387,100
proximity,archived,3,spread,0.30000000000000004,0.3488372093023256,0.7566554113200769,0.5873443690907356,0.6552942055565988,387,135
proximity,archived,3,spread,0.4,0.4160206718346253,0.7451573410713273,0.6085371201494029,0.6858982212377983,387,161
proximity,archived,3,spread,0.5,0.5581395348837209,0.7385298874516928,0.6379032968329158,0.7146879289847634,387,216
proximity,archived,3,spread,0.6000000000000001,0.6408268733850129,0.72111914394501,0.6294800233277689,0.7158529102759661,387,248
proximity,archived,3,spread,0.7000000000000001,0.7157622739018088,0.7683628940304867,0.6464558573718149,0.7145962835189461,387,277
proximity,archived,3,spread,0.8,0.8087855297157622,0.7632981451024046,0.6644278814778066,0.7243254648041957,387,313
proximity,archived,3,spread,0.9,0.9147286821705426,0.7514346124431377,0.6727105719106754,0.7288164227201812,387,354
proximity,archived,3,spread,1.0,1.0,0.7524780138347671,0.6898349337078932,0.7390761419380059,387,387
proximity,archived,3,distance,0.0,0.0,0.7870247257245924,,,387,0
proximity,archived,3,distance,0.1,0.23255813953488372,0.7830719069492982,0.6063550782019536,0.6641849885198198,387,90
proximity,archived,3,distance,0.2,0.3798449612403101,0.7747978521632215,0.6675872060295913,0.7002549071131227,387,147
proximity,archived,3,distance,0.30000000000000004,0.5710594315245479,0.7859412481225229,0.6661948030506879,0.6972503221662851,387,221
proximity,archived,3,distance,0.4,0.6770025839793282,0.7809423214331085,0.6901530226946373,0.7206747145903598,387,262
proximity,archived,3,distance,0.5,0.7751937984496124,0.7712060321393477,0.6984170943230948,0.7319818238333929,387,300
proximity,archived,3,distance,0.6000000000000001,0.8165374677002584,0.7924060515484237,0.6847438490449571,0.7287720190676525,387,316
proximity,archived,3,distance,0.7000000000000001,0.8708010335917312,0.7757866592871402,0.6765193935595759,0.725946497164801,387,337
