row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,vp_kpa,vpd_kpa,es_kpa,t_max_c,valid,failed_rules
3441,US-FPe,2006-08-11,US-FPe,Grasslands,48.3077,-105.1019,1.3,7.9,0.6885667224601884,25.597937500000004,0.21741875,3.4647916666666663,-0.6420547132365636,-0.7666588193001592,3.356214888672628,0.21741875,3.5736336386726277,37.5,True,
3442,US-FPe,2006-08-27,US-FPe,Grasslands,48.3077,-105.1019,0.8,3.9,0.3047486861708673,19.420833333333327,0.1457041666666666,1.9841666666666669,-0.8263541987239095,-0.5631507242749187,2.350958312415912,0.1457041666666666,2.4966624790825787,30.5,True,
3443,US-FPe,2006-09-13,US-FPe,Grasslands,48.3077,-105.1019,1.0,6.2000003,0.7747300793458921,19.4875,0.1571020833333333,2.81125,-0.9536809966304456,-0.300819807635668,2.342016648180976,0.1571020833333333,2.499118731514309,31.4,True,
3444,US-FPe,2006-10-14,US-FPe,Grasslands,48.3077,-105.1019,0.5,1.1,0.4941946605000582,-0.5104166666666664,0.0314958333333333,1.5456249999999996,-0.9741004551724206,0.226115685508288,0.6409004595398096,0.0314958333333333,0.6723962928731431,11.6,True,
3445,US-FPe,2006-10-23,US-FPe,Grasslands,48.3077,-105.1019,0.3,1.0,0.3218983548382135,0.7749999999999995,0.025475,2.683958333333333,-0.9275416835791964,0.3737197147904692,0.7073775941070305,0.025475,0.7328525941070305,12.6,True,
3446,US-FPe,2006-12-17,US-FPe,Grasslands,48.3077,-105.1019,0.0,0.7,0.2272453899237486,-7.662499999999999,0.0115083333333333,3.7302083333333313,-0.2386727660059499,0.9711000518829505,0.3395439107690088,0.0115083333333333,0.3510522441023421,-2.5,True,
3447,US-FPe,2006-12-18,US-FPe,Grasslands,48.3077,-105.1019,0.1,0.5,0.2106292256850856,-8.331249999999997,0.0155479166666666,2.1662500000000007,-0.2219215130041667,0.9750645322571944,0.3432340324431728,0.0155479166666666,0.3587819491098394,1.3,True,
3448,US-FPe,2007-01-26,US-FPe,Grasslands,48.3077,-105.1019,0.2,1.3000001,0.550403811066174,-3.8104166666666672,0.0173937499999999,8.303125,0.4327755925504312,0.901501684131884,0.4560129110392237,0.0173937499999999,0.4734066610392238,0.3,True,
3449,US-FPe,2007-02-03,US-FPe,Grasslands,48.3077,-105.1019,0.4,0.3,0.1098460329962329,-22.2375,0.0037979166666666,2.6691666666666656,0.5524353131676196,0.8335557718385699,0.110721102805571,0.0037979166666666,0.1145190194722377,-13.4,True,
3450,US-FPe,2007-03-15,US-FPe,Grasslands,48.3077,-105.1019,1.0,1.6,0.4205704637190054,-5.206250000000002,0.0122875,2.751666666666668,0.9562348265919056,0.2926003356333483,0.4147670299881587,0.0122875,0.4270545299881587,1.2,True,
3451,US-FPe,2007-03-16,US-FPe,Grasslands,48.3077,-105.1019,0.9,1.6,0.4293248821028652,-0.5687500000000006,0.0268,3.080416666666667,0.9611297838723007,0.2760969730974688,0.6043972934350502,0.0268,0.6311972934350502,6.5,True,
3452,US-FPe,2007-03-23,US-FPe,Grasslands,48.3077,-105.1019,1.5,3.5,0.5164123274801383,7.889604166666667,0.0679437499999999,3.5031249999999994,0.9873494423939864,0.1585593851031347,1.1018514024442938,0.0679437499999999,1.169795152444294,18.2,True,
3453,US-FPe,2007-03-24,US-FPe,Grasslands,48.3077,-105.1019,1.1,4.5,0.5470540946796161,11.237520833333337,0.1063416666666666,3.7083333333333326,0.989932495087353,0.141540295217043,1.45870486917799,0.1063416666666666,1.5650465358446564,24.6,True,
3454,US-FPe,2007-03-31,US-FPe,Grasslands,48.3077,-105.1019,1.3,2.3,0.8402128769420251,2.150000000000001,0.0282458333333333,1.887708333333334,0.9997685019798908,0.0215160974362222,0.7529819395845596,0.0282458333333333,0.7812277729178924,12.1,True,
3455,US-FPe,2007-04-08,US-FPe,Grasslands,48.3077,-105.1019,0.9,1.9,0.4694685551537566,-2.633333333333334,0.03138125,3.54,0.9932568492674144,-0.1159345995955004,0.5206715036688625,0.03138125,0.5520527536688624,5.6,True,
3456,US-FPe,2007-04-16,US-FPe,Grasslands,48.3077,-105.1019,2.5,3.7,1.4778992934707749,8.979166666666666,0.07388125,2.1535416666666665,0.9679377830240642,-0.2511900638848193,1.141058565223945,0.07388125,1.2149398152239452,16.5,True,
3457,US-FPe,2007-04-17,US-FPe,Grasslands,48.3077,-105.1019,2.7,5.2000003,1.2539802538070135,13.439583333333337,0.1042520833333333,4.152083333333334,0.9634705485641488,-0.2678143051621742,1.5621404408847632,0.1042520833333333,1.6663925242180964,22.6,True,
3458,US-FPe,2007-04-25,US-FPe,Grasslands,48.3077,-105.1019,1.7,5.6,1.7475337881793462,13.38125,0.0911041666666666,2.701875,0.9175836260593936,-0.3975428142825559,1.6018259986313976,0.0911041666666666,1.6929301652980646,23.6,True,
3459,US-FPe,2007-05-02,US-FPe,Grasslands,48.3077,-105.1019,2.0,6.3,1.408530534385002,18.691687499999997,0.1391604166666666,6.764375,0.8631421280499114,-0.5049610547215204,2.140804362133178,0.1391604166666666,2.2799647787998443,25.8,True,
3460,US-FPe,2007-05-11,US-FPe,Grasslands,48.3077,-105.1019,2.2,4.8,2.18201850036977,15.479166666666664,0.0785479166666666,2.2997916666666662,0.7748840413670407,-0.6321034111873487,1.7710833461391962,0.0785479166666666,1.8496312628058635,22.9,True,
3461,US-FPe,2007-05-27,US-FPe,Grasslands,48.3077,-105.1019,3.2,5.6,3.3067117552836027,15.070833333333333,0.0841541666666666,3.1122916666666667,0.5737722679043246,-0.8190148866680801,1.7881029181154613,0.0841541666666666,1.8722570847821276,23.5,True,
3462,US-FPe,2007-06-19,US-FPe,Grasslands,48.3077,-105.1019,3.0,6.1,4.293983788602048,16.272916666666667,0.0836,2.8916666666666675,0.2135209154397961,-0.9769384927771816,1.892515844246032,0.0836,1.9761158442460325,23.9,True,
3463,US-FPe,2007-06-20,US-FPe,Grasslands,48.3077,-105.1019,3.5,6.4,5.036941330745181,19.870833333333337,0.1200854166666666,1.4877083333333332,0.1966728897935764,-0.980469160361632,2.440813924405248,0.1200854166666666,2.5608993410719143,29.5,True,
3464,US-FPe,2007-06-27,US-FPe,Grasslands,48.3077,-105.1019,3.4,4.7000003,3.1529660556228967,13.143749999999995,0.049125,2.845,0.077386479233463,-0.9970011699250152,1.5196123872847107,0.049125,1.5687373872847106,19.0,True,
3465,US-FPe,2007-07-21,US-FPe,Grasslands,48.3077,-105.1019,3.0,7.9,1.362039335546304,29.537520833333332,0.2176208333333333,2.668333333333333,-0.3294084822245302,-0.9441875088341994,4.09484607748914,0.2176208333333333,4.312466910822473,37.6,True,
3466,US-FPe,2007-07-22,US-FPe,Grasslands,48.3077,-105.1019,2.1,7.4,1.295297002530267,29.3625,0.2650166666666667,2.444375,-0.3456123126707333,-0.9383773917408642,4.219388360298419,0.2650166666666667,4.484405026965084,40.4,True,
3467,US-FPe,2007-07-29,US-FPe,Grasslands,48.3077,-105.1019,1.2,9.1,0.7298073580442885,29.34791666666666,0.3409229166666667,2.235,-0.455906693508459,-0.8900275764346766,4.235746742897359,0.3409229166666667,4.576669659564026,41.1,True,
3468,US-FPe,2008-02-23,US-FPe,Grasslands,48.3077,-105.1019,0.5,0.7,0.2001929721458923,-4.233333333333333,0.0152604166666666,1.5839583333333331,0.8013610881746766,0.5981809144059164,0.4897623811101372,0.0152604166666666,0.5050227977768038,7.0,True,
3469,US-FPe,2008-03-02,US-FPe,Grasslands,48.3077,-105.1019,0.7,1.5,0.6376387299013246,-4.654166666666666,0.015725,6.510833333333331,0.8758917051442429,0.4825077417612184,0.4419140105029913,0.015725,0.4576390105029913,1.2,True,
3470,US-FPe,2008-03-09,US-FPe,Grasslands,48.3077,-105.1019,0.7,1.1,0.2723758232756835,-1.8187500000000003,0.03083125,1.7891666666666672,0.9275416835791966,0.373719714790469,0.6181366571765111,0.03083125,0.6489679071765111,11.6,True,
3471,US-FPe,2008-03-10,US-FPe,Grasslands,48.3077,-105.1019,1.1,2.3,0.3060531417152345,2.1666666666666665,0.0402729166666666,2.776666666666667,0.9338372288229252,0.3576982388331254,0.7842977422003976,0.0402729166666666,0.8245706588670642,13.8,True,
3472,US-FPe,2008-03-26,US-FPe,Grasslands,48.3077,-105.1019,0.5,2.3,0.3630706095381621,-1.077083333333333,0.03976875,1.788333333333333,0.995918996147179,0.0902516100310411,0.6053429896433054,0.03976875,0.6451117396433056,9.3,True,
3473,US-FPe,2008-04-03,US-FPe,Grasslands,48.3077,-105.1019,0.8,3.1000001,0.6415081479802051,2.5708333333333337,0.0537708333333333,3.579166666666666,0.9988797155850336,-0.0473213883224318,0.7985655379670383,0.0537708333333333,0.8523363713003714,12.7,True,
3474,US-FPe,2008-04-18,US-FPe,Grasslands,48.3077,-105.1019,1.7,4.9,1.148166254240875,11.925000000000002,0.1037416666666666,2.933125,0.9536809966304456,-0.3008198076356673,1.3997372316145722,0.1037416666666666,1.503478898281239,20.5,True,
3475,US-FPe,2008-04-19,US-FPe,Grasslands,48.3077,-105.1019,1.4,5.7000003,1.032681450464353,13.335416666666667,0.1032270833333333,4.861875,0.9483615800121716,-0.3171912885891061,1.5180960453236791,0.1032270833333333,1.6213231286570136,21.1,True,
3476,US-FPe,2008-04-27,US-FPe,Grasslands,48.3077,-105.1019,1.5,4.2000003,0.7185873692800804,4.0,0.0608416666666666,3.7195833333333344,0.895839290734909,-0.4443781781046132,0.8876024000529993,0.0608416666666666,0.948444066719666,15.1,True,
3477,US-FR2,2005-01-13,US-FR2,Mixed Forests,29.94949,-97.99623,1.0,4.1,0.8669708313039522,10.174479166666664,0.0758833333333333,2.784854166666667,0.2219215130041655,0.9750645322571948,1.2022300343067804,0.0758833333333333,1.2781133676401142,17.002,True,
3478,US-FR2,2005-02-14,US-FR2,Mixed Forests,29.94949,-97.99623,1.4,3.6000001000000004,1.1738029015529974,16.538999999999998,0.1202708333333332,1.4794374999999995,0.6994583270516471,0.7146733860429609,1.951814250001848,0.1202708333333332,2.072085083335182,27.446,True,
3479,US-FR2,2005-03-10,US-FR2,Mixed Forests,29.94949,-97.99623,1.6,4.5,2.4744293626302136,15.433395833333336,0.1218375,2.1828541666666657,0.9275416835791966,0.373719714790469,1.865695077511728,0.1218375,1.987532577511728,27.117,True,
3480,US-FR2,2005-03-18,US-FR2,Mixed Forests,29.94949,-97.99623,2.6,4.4,2.0615167984254064,15.690916666666665,0.0821875,3.407687500000001,0.970063921851507,0.2428497220959356,1.840727125068021,0.0821875,1.9229146250680225,25.363000000000003,True,
3481,US-FR2,2005-04-03,US-FR2,Mixed Forests,29.94949,-97.99623,2.4,4.5,2.5667306743585607,15.270458333333329,0.09240625,2.7528333333333337,0.9995462806873572,-0.0301203048469081,1.8193873835091912,0.09240625,1.9117936335091912,24.625,True,
